0, 1, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0002.png', 5.058010831235541
1, 2, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0003.png', 4.937841771581212
2, 3, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0004.png', 5.11758890699935
3, 4, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0005.png', 4.668649835600033
4, 5, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0006.png', 4.870460913142675
5, 6, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0007.png', 5.484471371587922
6, 7, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0008.png', 5.152920286311897
7, 8, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0009.png', 5.063452544088404
8, 9, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0010.png', 4.854737412748277
9, 10, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0011.png', 4.587340055885473
10, 11, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0012.png', 4.919725179737829
11, 12, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0013.png', 4.691189985337319
12, 13, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0014.png', 4.7971347723837185
13, 14, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0015.png', 5.134842386010007
14, 15, './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/pour_coffee,spoon,cup/2/rgb/rgb0016.png', 4.797118726424666
