0, 1, './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/mmaps/map0002.png', 0.34166849168412283
1, 2, './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/mmaps/map0003.png', 0.015284999937458674
2, 3, './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/mmaps/map0004.png', -0.0
3, 4, './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/mmaps/map0005.png', -0.0
4, 5, './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/mmaps/map0006.png', -0.0
5, 6, './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/mmaps/map0007.png', -0.0
6, 7, './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/mmaps/map0008.png', 0.009013185442534974
7, 8, './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/mmaps/map0009.png', 0.06877883040789978
8, 9, './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/mmaps/map0010.png', 0.21193943156504977
9, 10, './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/mmaps/map0011.png', 0.5256329353253553
10, 11, './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/mmaps/map0012.png', 0.5528195073129049
11, 12, './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/mmaps/map0013.png', 0.05443653205167188
