0, 1, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0002.png', 0.14563303133572938
1, 2, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0003.png', 0.14285538184016394
2, 3, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0004.png', 0.05600291083725353
3, 4, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0005.png', 0.04773541061022521
4, 5, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0006.png', 0.025271194602123057
5, 6, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0007.png', 0.01633665552988666
6, 7, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0008.png', 0.010851145512816433
7, 8, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0009.png', 0.021124508743698055
8, 9, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0010.png', 0.009013185442534974
9, 10, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0011.png', 0.30911828286592985
10, 11, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0012.png', 0.21010496854873045
11, 12, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0013.png', 0.178051392913733
12, 13, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0014.png', 0.07499999668430286
13, 14, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0015.png', 0.05550281974509674
14, 15, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0016.png', 0.02340391406216179
15, 16, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0017.png', 0.013807378948703375
16, 17, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0018.png', 0.014055486145585088
17, 18, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0019.png', 0.01934529263096175
18, 19, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0020.png', 0.008117133127105292
19, 20, './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S1/put_hotdog,bread/1/mmaps/map0021.png', -0.0
