0, 1, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0001.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0002.png', 0.28537494182429746
1, 2, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0002.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0003.png', 0.18415338221719563
2, 3, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0003.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0004.png', 0.17128545176774043
3, 4, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0004.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0005.png', 0.14877241215211792
4, 5, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0005.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0006.png', 0.15507859454426426
5, 6, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0006.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0007.png', 0.21331110958360383
6, 7, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0007.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0008.png', 0.24346396927841477
7, 8, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0008.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0009.png', 0.22772747215808126
8, 9, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0009.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0010.png', 0.26655583784286047
9, 10, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0010.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0011.png', 0.3962710453849284
10, 11, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0011.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0012.png', 0.2887264143741253
11, 12, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0012.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0013.png', 0.23207486096315283
12, 13, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0013.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0014.png', 0.2297041775808526
13, 14, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0014.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0015.png', 0.22994573279608768
14, 15, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0015.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0016.png', 0.2334763797820419
15, 16, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0016.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0017.png', 0.22805068865011027
16, 17, './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0017.png', './GTEA61/processed_frames2/S2/spread_peanut,spoon,bread/2/mmaps/map0018.png', 0.261212389046191
