0, 1, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0001.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0002.png', 0.21027200202643556
1, 2, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0002.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0003.png', 0.17047249899740857
2, 3, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0003.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0004.png', 0.1732219083529899
3, 4, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0004.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0005.png', 0.17880721521108733
4, 5, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0005.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0006.png', 0.20130239682649345
5, 6, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0006.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0007.png', 0.1697487036522736
6, 7, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0007.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0008.png', 0.16189668966635717
7, 8, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0008.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0009.png', 0.16465077954131263
8, 9, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0009.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0010.png', 0.1525480068935327
9, 10, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0010.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0011.png', 0.33274535779415176
10, 11, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0011.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0012.png', 0.25987829811205976
11, 12, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0012.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0013.png', 0.22424071850649638
12, 13, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0013.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0014.png', 0.22720183640962013
13, 14, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0014.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0015.png', 0.24244174719819028
14, 15, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0015.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0016.png', 0.22489111377522364
15, 16, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0016.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0017.png', 0.2465585776109145
16, 17, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0017.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0018.png', 0.21777562566204967
17, 18, './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0018.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/2/mmaps/map0019.png', 0.2268376374711537
