0, 1, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00002.png', 6.3543285361443145
1, 2, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00003.png', 4.708259405125301
2, 3, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00004.png', 5.693612498486535
3, 4, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00005.png', 4.351238651507853
4, 5, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00006.png', 4.662730345710708
5, 6, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00007.png', 4.682181165224027
6, 7, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00008.png', 4.551141271855741
7, 8, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00009.png', 6.232143857548065
8, 9, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00010.png', 5.400324536101408
9, 10, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00011.png', 4.482234949482023
10, 11, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00012.png', 4.372820725879136
11, 12, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00013.png', 4.915759074527237
12, 13, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00014.png', 4.717263739364917
13, 14, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00015.png', 4.33996442694074
14, 15, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00016.png', 4.922289165424351
15, 16, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00017.png', 4.219360537213936
16, 17, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00018.png', 4.119245671086598
17, 18, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00019.png', 4.7168141822245415
18, 19, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00020.png', 4.45111783858138
19, 20, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00021.png', 4.01644883759554
20, 21, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00022.png', 4.323292174745416
21, 22, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00023.png', 5.339600731110846
22, 23, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00024.png', 4.762778315335617
23, 24, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00025.png', 3.9474085789129907
24, 25, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00026.png', 3.6994847080813873
25, 26, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00027.png', 4.740670179287997
26, 27, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00028.png', 4.157154871822015
27, 28, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00029.png', 4.21685625907828
28, 29, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00030.png', 4.3967052368338075
29, 30, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00031.png', 5.238934318601968
30, 31, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00031.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00032.png', 5.219854695049487
31, 32, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00032.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00033.png', 4.079025497886659
32, 33, './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00033.png', './GTEA61/flow_y_processed/S1/pour_mustard,cheese,bread/1/flow_y_00034.png', 4.857171672269222
