0, 1, './GTEA61/processed_frames2/S1/put_bread,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/mmaps/map0002.png', 0.4602536133596505
1, 2, './GTEA61/processed_frames2/S1/put_bread,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/mmaps/map0003.png', 0.42626664316878543
2, 3, './GTEA61/processed_frames2/S1/put_bread,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/mmaps/map0004.png', 0.29209525691712024
3, 4, './GTEA61/processed_frames2/S1/put_bread,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/mmaps/map0005.png', 0.24125993529417103
4, 5, './GTEA61/processed_frames2/S1/put_bread,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/mmaps/map0006.png', 0.14424643328677147
5, 6, './GTEA61/processed_frames2/S1/put_bread,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/mmaps/map0007.png', 0.14343153286979138
6, 7, './GTEA61/processed_frames2/S1/put_bread,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/mmaps/map0008.png', 0.12075665845252187
7, 8, './GTEA61/processed_frames2/S1/put_bread,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/mmaps/map0009.png', 0.18424126190601267
8, 9, './GTEA61/processed_frames2/S1/put_bread,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/mmaps/map0010.png', 0.2841681597032186
9, 10, './GTEA61/processed_frames2/S1/put_bread,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/mmaps/map0011.png', 0.6704541668832081
10, 11, './GTEA61/processed_frames2/S1/put_bread,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/mmaps/map0012.png', 0.4486396534379956
11, 12, './GTEA61/processed_frames2/S1/put_bread,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S1/put_bread,bread/1/mmaps/map0013.png', 0.4506602918094704
