0, 1, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0001.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0002.png', 0.23900757647088725
1, 2, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0002.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0003.png', 0.08069067307213426
2, 3, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0003.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0004.png', 0.03892145448901831
3, 4, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0004.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0005.png', 0.023027053633690064
4, 5, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0005.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0006.png', 0.035565479653086936
5, 6, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0006.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0007.png', 0.07114283048121384
6, 7, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0007.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0008.png', 0.08649935578050084
7, 8, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0008.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0009.png', 0.07482580568632835
8, 9, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0009.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0010.png', 0.05178056223781374
9, 10, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0010.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0011.png', 0.39268845446267175
10, 11, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0011.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0012.png', 0.37714526886909633
11, 12, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0012.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0013.png', 0.09433686095144492
12, 13, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0013.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0014.png', 0.05550281974509674
13, 14, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0014.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0015.png', 0.05228889063443872
14, 15, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0015.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0016.png', 0.05456223400944879
15, 16, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0016.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0017.png', 0.059043104080178474
16, 17, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0017.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0018.png', 0.059227993783730594
17, 18, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0018.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0019.png', 0.06752943378227327
18, 19, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0019.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0020.png', 0.05953583176039361
19, 20, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0020.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0021.png', 0.08397501102772746
20, 21, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0021.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0022.png', 0.07354514589519813
21, 22, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0022.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0023.png', 0.06651371902682623
22, 23, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0023.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0024.png', 0.1257443793342676
23, 24, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0024.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0025.png', 0.20527986318539954
24, 25, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0025.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0026.png', 0.16816153070405662
25, 26, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0026.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0027.png', 0.17653620658210117
26, 27, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0027.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0028.png', 0.18150967688903716
27, 28, './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0028.png', './GTEA61/processed_frames2/S2/scoop_peanut,spoon/3/mmaps/map0029.png', 0.186126909948746
