0, 1, './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/rgb/rgb0002.png', 5.56051063838514
1, 2, './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/rgb/rgb0003.png', 5.306013047691187
2, 3, './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/rgb/rgb0004.png', 4.972326583412077
3, 4, './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/rgb/rgb0005.png', 4.811075696050181
4, 5, './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/rgb/rgb0006.png', 4.5553487997792805
5, 6, './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/rgb/rgb0007.png', 4.44266646961223
6, 7, './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/rgb/rgb0008.png', 4.575043915998469
7, 8, './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/rgb/rgb0009.png', 4.634668726808643
8, 9, './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/rgb/rgb0010.png', 4.431858570717825
9, 10, './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/rgb/rgb0011.png', 4.815061384227563
10, 11, './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/rgb/rgb0012.png', 4.619567114294079
11, 12, './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/pour_mustard,hotdog,bread/1/rgb/rgb0013.png', 4.707128912995646
