0, 1, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00002.png', 5.9789099377744135
1, 2, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00003.png', 6.728894554548484
2, 3, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00004.png', 6.395216956214613
3, 4, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00005.png', 5.538346502834382
4, 5, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00006.png', 5.42894766622095
5, 6, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00007.png', 5.395026107665561
6, 7, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00008.png', 6.047499649663811
7, 8, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00009.png', 5.9981782023863
8, 9, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00010.png', 5.614836744413384
9, 10, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00011.png', 6.780403976757322
10, 11, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00012.png', 5.929623130090103
11, 12, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00013.png', 5.9862174841482885
12, 13, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00014.png', 5.949124193339371
13, 14, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00015.png', 5.908354669597771
14, 15, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00016.png', 5.983472756218866
15, 16, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00017.png', 5.255809911975673
16, 17, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00018.png', 4.582475047198492
17, 18, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00019.png', 4.315381314655946
18, 19, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00020.png', 4.263058455406602
19, 20, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00021.png', 5.030380810866999
20, 21, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00022.png', 4.784804740896133
21, 22, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00023.png', 4.391952233305953
22, 23, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00024.png', 4.370352181291411
23, 24, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00025.png', 4.937482134152048
24, 25, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00026.png', 5.864413278833603
25, 26, './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S2/put_cheese,bread/1/flow_x_00027.png', 7.14431738498184
