0, 1, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00002.png', 4.288584454680616
1, 2, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00003.png', 5.241505362978999
2, 3, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00004.png', 3.9683444654969424
3, 4, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00005.png', 5.134919940405885
4, 5, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00006.png', 5.287995379201681
5, 6, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00007.png', 5.694799774377423
6, 7, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00008.png', 3.549761329446384
7, 8, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00009.png', 3.653436056513881
8, 9, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00010.png', 3.4150300712006603
9, 10, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00011.png', 3.7275573797670982
10, 11, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00012.png', 3.4392997848321296
11, 12, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00013.png', 3.689234685235636
12, 13, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00014.png', 4.144586046220487
13, 14, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00015.png', 4.224448500952142
14, 15, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00016.png', 4.648423744437623
15, 16, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00017.png', 3.897030799686997
16, 17, './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S2/pour_mayonnaise,cheese,bread/1/flow_y_00018.png', 4.84461486693069
