0, 1, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0001.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0002.png', 0.1702012052010582
1, 2, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0002.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0003.png', 0.1975080250176726
2, 3, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0003.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0004.png', 0.2048159871504356
3, 4, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0004.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0005.png', 0.18770010183674574
4, 5, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0005.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0006.png', 0.1950630589771048
5, 6, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0006.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0007.png', 0.2204856859753135
6, 7, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0007.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0008.png', 0.22962363548399492
7, 8, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0008.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0009.png', 0.2776900716598094
8, 9, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0009.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0010.png', 0.2689650643394615
9, 10, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0010.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0011.png', 0.27218683941909194
10, 11, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0011.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0012.png', 0.23367630592348024
11, 12, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0012.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0013.png', 0.2414176546505643
12, 13, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0013.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0014.png', 0.2328361282023615
13, 14, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0014.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0015.png', 0.2309108900349354
14, 15, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0015.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0016.png', 0.2568172597662131
15, 16, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0016.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0017.png', 0.2486252158961545
16, 17, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0017.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0018.png', 0.2553959773028362
17, 18, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0018.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0019.png', 0.2594583723360996
18, 19, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0019.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0020.png', 0.25049038958880676
19, 20, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0020.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0021.png', 0.2714765817280958
20, 21, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0021.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0022.png', 0.2931058214024426
21, 22, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0022.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0023.png', 0.2759480124238074
22, 23, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0023.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0024.png', 0.28160015104790265
23, 24, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0024.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0025.png', 0.28974269273985365
24, 25, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0025.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0026.png', 0.2588470226472157
25, 26, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0026.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0027.png', 0.23075014844967287
26, 27, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0027.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0028.png', 0.2581584749324348
27, 28, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0028.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0029.png', 0.30347351476649037
28, 29, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0029.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0030.png', 0.2724109520286595
29, 30, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0030.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0031.png', 0.2871987374916811
30, 31, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0031.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0032.png', 0.3055611498116972
31, 32, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0032.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0033.png', 0.2707654588189254
32, 33, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0033.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0034.png', 0.2696783860056291
33, 34, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0034.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0035.png', 0.2729335475306798
34, 35, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0035.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0036.png', 0.24157532949787205
35, 36, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0036.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0037.png', 0.2513432131838248
36, 37, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0037.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0038.png', 0.2634543152598998
37, 38, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0038.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/mmaps/map0039.png', 0.24730031861426727
