0, 1, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0001.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0002.png', 0.17640228566987814
1, 2, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0002.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0003.png', 0.14692004460834163
2, 3, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0003.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0004.png', 0.11457246931358049
3, 4, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0004.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0005.png', 0.07412797841643001
4, 5, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0005.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0006.png', 0.05743477021168386
5, 6, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0006.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0007.png', 0.06161897795954158
6, 7, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0007.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0008.png', 0.05024849608421875
7, 8, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0008.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0009.png', 0.04314646881475358
8, 9, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0009.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0010.png', 0.031858059405500835
9, 10, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0010.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0011.png', 0.24819691269799332
10, 11, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0011.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0012.png', 0.18669558106251827
11, 12, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0012.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0013.png', 0.18013816337723565
12, 13, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0013.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0014.png', 0.15461104092638708
13, 14, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0014.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0015.png', 0.10665711981397288
14, 15, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0015.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0016.png', 0.08023486031530543
15, 16, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0016.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0017.png', 0.05662652609452332
16, 17, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0017.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0018.png', 0.059412743183367006
17, 18, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0018.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0019.png', 0.04181548247050261
18, 19, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0019.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0020.png', 0.04909230040194428
19, 20, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0020.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0021.png', 0.05749682904649015
20, 21, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0021.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0022.png', 0.06549408232597846
21, 22, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0022.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0023.png', 0.058796365317844226
22, 23, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0023.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0024.png', 0.03445517348707715
23, 24, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0024.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0025.png', 0.02943240645186531
24, 25, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0025.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0026.png', 0.01649736862931219
25, 26, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0026.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0027.png', 0.01657762044765992
26, 27, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0027.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0028.png', 0.029719839465298326
27, 28, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0028.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0029.png', 0.023177938696881003
28, 29, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0029.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0030.png', 0.00874590784647976
29, 30, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0030.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0031.png', 0.00874590784647976
30, 31, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0031.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0032.png', 0.026010530839616283
31, 32, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0032.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0033.png', 0.021354477744931287
32, 33, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0033.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0034.png', 0.02089406842507084
33, 34, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0034.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0035.png', 0.013890166096496402
34, 35, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0035.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0036.png', 0.013558501966542553
35, 36, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0036.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0037.png', 0.010764833838634406
36, 37, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0037.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0038.png', 0.00702091526465066
37, 38, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0038.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0039.png', 0.013724506274630677
38, 39, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0039.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0040.png', 0.009013185442534974
39, 40, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0040.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0041.png', 0.009455882415911493
40, 41, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0041.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0042.png', 0.03319700564388813
41, 42, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0042.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0043.png', 0.026231523591515288
42, 43, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0043.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0044.png', 0.006463079146510757
43, 44, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0044.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0045.png', 0.013807378948703375
44, 45, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0045.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0046.png', 0.0059926519214588145
45, 46, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0046.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0047.png', 0.016256193458082116
46, 47, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0047.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0048.png', 0.0231025197657298
47, 48, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0048.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0049.png', 0.018640898135046338
48, 49, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0049.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0050.png', 0.02035450727795761
49, 50, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0050.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0051.png', 0.013141951923444747
50, 51, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0051.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0052.png', 0.016095056259505334
51, 52, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0052.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0053.png', 0.008567004826127734
52, 53, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0053.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0054.png', -0.0
53, 54, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0054.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0055.png', -0.0
54, 55, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0055.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0056.png', -0.0
55, 56, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0056.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0057.png', 0.0089242343066975
56, 57, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0057.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0058.png', 0.0089242343066975
57, 58, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0058.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0059.png', 0.010505212153760499
58, 59, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0059.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0060.png', 0.010505212153760499
59, 60, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0060.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0061.png', 0.021124508743698055
60, 61, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0061.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0062.png', 0.02813181326968239
61, 62, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0062.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0063.png', 0.01816859077623906
62, 63, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0063.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0064.png', 0.023177938696881003
63, 64, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0064.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0065.png', 0.01657762044765992
64, 65, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0065.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0066.png', 0.0089242343066975
65, 66, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0066.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0067.png', -0.0
66, 67, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0067.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0068.png', -0.0
67, 68, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0068.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0069.png', -0.0
68, 69, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0069.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0070.png', 0.0089242343066975
69, 70, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0070.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0071.png', 0.0089242343066975
70, 71, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0071.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0072.png', 0.01536634052521206
71, 72, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0072.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0073.png', 0.013225440368295087
72, 73, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0073.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0074.png', 0.00874590784647976
73, 74, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0074.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0075.png', -0.0
74, 75, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0075.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0076.png', 0.009013185442534974
75, 76, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0076.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0077.png', 0.01649736862931219
76, 77, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0077.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0078.png', 0.009013185442534974
77, 78, './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0078.png', './GTEA61/processed_frames2/S4/pour_water,cup/2/mmaps/map0079.png', 0.012554960477583078
