0, 1, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00001.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00002.png', 5.680932757142728
1, 2, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00002.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00003.png', 5.103269974319938
2, 3, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00003.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00004.png', 5.628205405324792
3, 4, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00004.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00005.png', 4.033494368350842
4, 5, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00005.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00006.png', 4.969566886470874
5, 6, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00006.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00007.png', 5.467155151072517
6, 7, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00007.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00008.png', 4.609750284345155
7, 8, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00008.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00009.png', 4.5953946732573385
8, 9, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00009.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00010.png', 4.946373437551787
9, 10, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00010.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00011.png', 4.453010103450912
10, 11, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00011.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00012.png', 4.978852750127227
11, 12, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00012.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00013.png', 5.151694578406887
12, 13, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00013.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00014.png', 4.054982634116096
13, 14, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00014.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00015.png', 4.668194918311549
14, 15, './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00015.png', './GTEA61/flow_y_processed/S1/scoop_peanut,spoon/1/flow_y_00016.png', 4.516745559032134
