0, 1, './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00001.png', './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00002.png', 4.431038889711016
1, 2, './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00002.png', './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00003.png', 4.800597590432466
2, 3, './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00003.png', './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00004.png', 4.7212377646356405
3, 4, './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00004.png', './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00005.png', 5.261831981730537
4, 5, './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00005.png', './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00006.png', 5.0127436937822525
5, 6, './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00006.png', './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00007.png', 4.86383446888348
6, 7, './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00007.png', './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00008.png', 5.009321824473786
7, 8, './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00008.png', './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00009.png', 5.3647371416973035
8, 9, './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00009.png', './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00010.png', 4.8313925572961836
9, 10, './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00010.png', './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00011.png', 5.201901627547753
10, 11, './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00011.png', './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00012.png', 4.931821265721025
11, 12, './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00012.png', './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00013.png', 5.736148869646675
12, 13, './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00013.png', './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00014.png', 4.644142666340668
13, 14, './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00014.png', './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00015.png', 4.450741027152505
14, 15, './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00015.png', './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00016.png', 4.625945479513571
15, 16, './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00016.png', './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00017.png', 4.185654128919054
16, 17, './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00017.png', './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00018.png', 4.609754168978515
17, 18, './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00018.png', './GTEA61/flow_x_processed/S1/pour_sugar,spoon,cup/3/flow_x_00019.png', 4.735075570932063
