0, 1, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0001.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0002.png', 0.09759341546332449
1, 2, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0002.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0003.png', 0.0727271570176384
2, 3, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0003.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0004.png', 0.09689048275749473
3, 4, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0004.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0005.png', 0.09656556169743252
4, 5, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0005.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0006.png', 0.07662071971125123
5, 6, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0006.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0007.png', 0.07937833927050224
6, 7, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0007.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0008.png', 0.0863875932889045
7, 8, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0008.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0009.png', 0.09340839985580598
8, 9, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0009.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0010.png', 0.12045232894757009
9, 10, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0010.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0011.png', 0.14848794012712271
10, 11, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0011.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0012.png', 0.1470628123928267
11, 12, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0012.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0013.png', 0.1430955383310932
12, 13, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0013.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0014.png', 0.1101149089772595
13, 14, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0014.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0015.png', 0.10765591117629245
14, 15, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0015.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0016.png', 0.12070595336170632
15, 16, './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0016.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/3/mmaps/map0017.png', 0.12654462693228052
