0, 1, './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00001.png', './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00002.png', 6.315310704613988
1, 2, './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00002.png', './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00003.png', 6.248239151217135
2, 3, './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00003.png', './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00004.png', 5.751176175243842
3, 4, './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00004.png', './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00005.png', 5.873482322841956
4, 5, './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00005.png', './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00006.png', 4.587106373398523
5, 6, './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00006.png', './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00007.png', 6.217556648834201
6, 7, './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00007.png', './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00008.png', 5.521372522860306
7, 8, './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00008.png', './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00009.png', 4.538121886953339
8, 9, './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00009.png', './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00010.png', 5.361080591449666
9, 10, './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00010.png', './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00011.png', 4.441264313297688
10, 11, './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00011.png', './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00012.png', 4.859962583742107
11, 12, './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00012.png', './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00013.png', 5.745377360249164
12, 13, './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00013.png', './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00014.png', 5.447394986898824
13, 14, './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00014.png', './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00015.png', 6.042497619828029
14, 15, './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00015.png', './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00016.png', 5.635418523331092
15, 16, './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00016.png', './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00017.png', 4.2579303753491216
16, 17, './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00017.png', './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00018.png', 5.913778521920394
17, 18, './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00018.png', './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00019.png', 4.975127669984277
18, 19, './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00019.png', './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00020.png', 4.816944523329507
19, 20, './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00020.png', './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00021.png', 5.805725254064762
20, 21, './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00021.png', './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00022.png', 4.362975782229818
21, 22, './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00022.png', './GTEA61/flow_y_processed/S3/put_bread,bread/2/flow_y_00023.png', 4.662681598359661
