0, 1, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00001.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00002.png', 5.425718912959048
1, 2, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00002.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00003.png', 5.552951024490532
2, 3, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00003.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00004.png', 5.782594836500539
3, 4, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00004.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00005.png', 4.706859845299847
4, 5, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00005.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00006.png', 4.462943640033927
5, 6, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00006.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00007.png', 5.011161809064586
6, 7, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00007.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00008.png', 5.052148614858598
7, 8, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00008.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00009.png', 4.479560566879952
8, 9, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00009.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00010.png', 4.457672704377391
9, 10, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00010.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00011.png', 4.209596370944313
10, 11, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00011.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00012.png', 3.4929455168399643
11, 12, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00012.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00013.png', 3.836740296579826
12, 13, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00013.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00014.png', 3.8502076876359697
13, 14, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00014.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00015.png', 4.364875646119144
14, 15, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00015.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00016.png', 5.229910676307894
15, 16, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00016.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00017.png', 5.40021361114834
16, 17, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00017.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00018.png', 4.281377055393185
17, 18, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00018.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00019.png', 4.160211692697048
18, 19, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00019.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00020.png', 4.96591839682234
19, 20, './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00020.png', './GTEA61/flow_y_processed/S1/pour_coffee,spoon,cup/1/flow_y_00021.png', 5.059404715743092
