0, 1, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0002.png', 5.81892349986938
1, 2, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0003.png', 5.857708976322906
2, 3, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0004.png', 5.707678901428792
3, 4, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0005.png', 5.903632135383117
4, 5, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0006.png', 6.071398727588909
5, 6, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0007.png', 5.930710250371989
6, 7, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0008.png', 6.202212741307326
7, 8, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0009.png', 6.2385472556889425
8, 9, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0010.png', 5.884434276768048
9, 10, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0011.png', 6.238854354615043
10, 11, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0012.png', 6.216905710740716
11, 12, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0013.png', 5.772493166177982
12, 13, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0014.png', 5.877115330007525
13, 14, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0015.png', 5.2147450933135495
14, 15, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0016.png', 6.096660518423093
15, 16, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0017.png', 5.387082302457771
16, 17, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0018.png', 5.607222945517716
17, 18, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0019.png', 5.568045656502816
18, 19, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0020.png', 5.157659581017594
19, 20, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0021.png', 5.576603852941336
20, 21, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0022.png', 5.640404530889988
21, 22, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0023.png', 5.712129151145394
22, 23, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0024.png', 5.361371858442092
23, 24, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0025.png', 5.546151967220323
24, 25, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0026.png', 5.738195255027802
25, 26, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0027.png', 5.622193967570666
26, 27, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0028.png', 5.394010184221703
27, 28, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0029.png', 5.570079831517095
28, 29, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0030.png', 5.4926322003394885
29, 30, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0031.png', 5.462429631260118
30, 31, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0032.png', 5.308110198256158
31, 32, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0033.png', 4.748062760849989
32, 33, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0034.png', 4.6153283109038865
33, 34, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0035.png', 4.968512091507643
34, 35, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0036.png', 4.7697770939002995
35, 36, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0037.png', 4.69084240242521
36, 37, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0038.png', 4.875446704349573
37, 38, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0039.png', 4.833762456106637
38, 39, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0040.png', 5.27068282867159
39, 40, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0040.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0041.png', 4.827667643704216
40, 41, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0041.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0042.png', 4.370950232405847
41, 42, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0042.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0043.png', 5.534789210627862
42, 43, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0043.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0044.png', 5.830806975345003
43, 44, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0044.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0045.png', 6.2852920212541665
44, 45, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0045.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0046.png', 6.119142791352199
45, 46, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0046.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0047.png', 6.536274045505429
46, 47, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0047.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0048.png', 5.805959974357918
47, 48, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0048.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0049.png', 6.515698979912341
48, 49, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0049.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0050.png', 6.107008748040571
49, 50, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0050.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0051.png', 5.320422975813198
50, 51, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0051.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0052.png', 6.509141330977668
51, 52, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0052.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0053.png', 6.100948504377227
52, 53, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0053.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0054.png', 6.513788313479755
53, 54, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0054.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0055.png', 6.313176227243198
54, 55, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0055.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0056.png', 5.439342966552932
55, 56, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0056.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0057.png', 6.673133203510558
56, 57, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0057.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0058.png', 6.004734743482499
57, 58, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0058.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0059.png', 6.112271783616097
58, 59, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0059.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0060.png', 6.207490599364192
59, 60, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0060.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0061.png', 5.266971885180455
60, 61, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0061.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0062.png', 5.554301766696727
61, 62, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0062.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0063.png', 5.239423389397729
62, 63, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0063.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0064.png', 5.418145162642389
63, 64, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0064.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0065.png', 5.276585786731515
64, 65, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0065.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0066.png', 5.6208328029818215
65, 66, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0066.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0067.png', 5.378056300941309
66, 67, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0067.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0068.png', 4.969582660369917
67, 68, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0068.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0069.png', 5.291127919797168
68, 69, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0069.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0070.png', 5.323045171648003
69, 70, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0070.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0071.png', 5.531297188275998
70, 71, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0071.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0072.png', 5.4164089298919444
71, 72, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0072.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0073.png', 5.118051656066063
72, 73, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0073.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0074.png', 4.644323121023971
73, 74, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0074.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0075.png', 4.399489533012971
74, 75, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0075.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0076.png', 4.747956904142827
75, 76, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0076.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0077.png', 5.164411523912231
76, 77, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0077.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0078.png', 5.163075581242857
77, 78, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0078.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0079.png', 5.332914048293746
78, 79, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0079.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0080.png', 5.785804118502278
79, 80, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0080.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0081.png', 5.5000715279473
80, 81, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0081.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/rgb/rgb0082.png', 5.201101503307061
