0, 1, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00001.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00002.png', 5.28114400566339
1, 2, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00002.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00003.png', 5.541034156698501
2, 3, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00003.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00004.png', 5.276418183502406
3, 4, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00004.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00005.png', 5.178457572788263
4, 5, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00005.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00006.png', 5.5482810700268015
5, 6, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00006.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00007.png', 4.955205431751794
6, 7, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00007.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00008.png', 4.778311111826275
7, 8, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00008.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00009.png', 5.107093078581897
8, 9, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00009.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00010.png', 4.390973467968471
9, 10, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00010.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00011.png', 5.331220043396036
10, 11, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00011.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00012.png', 4.436568538124308
11, 12, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00012.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00013.png', 4.135233279855836
12, 13, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00013.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00014.png', 4.478593631121506
13, 14, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00014.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00015.png', 4.425440640482515
14, 15, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00015.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00016.png', 5.113412946766764
15, 16, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00016.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00017.png', 5.568046166946778
16, 17, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00017.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00018.png', 4.092493535337231
17, 18, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00018.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00019.png', 4.432502315166591
18, 19, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00019.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00020.png', 4.976080540222084
19, 20, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00020.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00021.png', 4.721639501818322
20, 21, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00021.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00022.png', 4.838294994117239
21, 22, './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00022.png', './GTEA61/flow_x_processed/S4/spread_jam,spoon,bread/2/flow_x_00023.png', 4.721959185641616
