0, 1, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00001.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00002.png', 4.934880088729343
1, 2, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00002.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00003.png', 4.250148665620618
2, 3, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00003.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00004.png', 3.814242084149485
3, 4, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00004.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00005.png', 4.316544224256718
4, 5, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00005.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00006.png', 4.401182752808961
5, 6, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00006.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00007.png', 4.5792053549990905
6, 7, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00007.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00008.png', 4.454799711993836
7, 8, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00008.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00009.png', 4.689491934657297
8, 9, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00009.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00010.png', 4.306469874063323
9, 10, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00010.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00011.png', 4.476199456141396
10, 11, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00011.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00012.png', 4.54714769398845
11, 12, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00012.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00013.png', 4.143450571920436
12, 13, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00013.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00014.png', 4.45965758874131
13, 14, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00014.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00015.png', 4.671240489127548
14, 15, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00015.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00016.png', 4.792186420496339
15, 16, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00016.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00017.png', 4.619565391669079
16, 17, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00017.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00018.png', 4.6844720542657985
17, 18, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00018.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00019.png', 4.565623536355897
18, 19, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00019.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00020.png', 4.55770072588185
19, 20, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00020.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00021.png', 4.387031103509406
20, 21, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00021.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00022.png', 5.376148074761176
21, 22, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00022.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00023.png', 5.200085005639795
22, 23, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00023.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00024.png', 4.748138751231357
23, 24, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00024.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00025.png', 4.949127667425666
24, 25, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00025.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00026.png', 4.506809834926479
25, 26, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00026.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00027.png', 4.6877004863485245
26, 27, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00027.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00028.png', 4.433252134193482
27, 28, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00028.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00029.png', 4.41678710361392
28, 29, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00029.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00030.png', 4.590341361431373
29, 30, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00030.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00031.png', 4.92162701618098
30, 31, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00031.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00032.png', 4.758159773470946
31, 32, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00032.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00033.png', 4.284753366836192
32, 33, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00033.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00034.png', 4.391196750580788
33, 34, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00034.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00035.png', 4.747762052644383
34, 35, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00035.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00036.png', 4.565184902841958
35, 36, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00036.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00037.png', 4.933821893868011
36, 37, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00037.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00038.png', 4.8365230826870205
37, 38, './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00038.png', './GTEA61/flow_x_processed/S4/spread_peanut,spoon,bread/2/flow_x_00039.png', 4.31278032568504
