0, 1, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0002.png', 5.631536877439197
1, 2, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0003.png', 5.550955692521053
2, 3, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0004.png', 5.378319626012366
3, 4, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0005.png', 5.14459809742516
4, 5, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0006.png', 5.136660208323844
5, 6, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0007.png', 5.099464335785657
6, 7, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0008.png', 5.238212271626349
7, 8, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0009.png', 5.6344569585342335
8, 9, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0010.png', 5.258377323291123
9, 10, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0011.png', 4.4749180186111035
10, 11, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0012.png', 4.6778725251358475
11, 12, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0013.png', 4.57979239957318
12, 13, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0014.png', 5.348358689038017
13, 14, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/rgb/rgb0015.png', 5.689977399885242
