0, 1, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0002.png', 6.02472995535771
1, 2, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0003.png', 5.994811582756382
2, 3, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0004.png', 5.846162136093307
3, 4, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0005.png', 5.554128995312177
4, 5, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0006.png', 5.364685188589476
5, 6, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0007.png', 5.65482031084305
6, 7, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0008.png', 6.142013040233989
7, 8, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0009.png', 5.868241319848455
8, 9, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0010.png', 6.035500135202869
9, 10, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0011.png', 6.097348748562364
10, 11, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0012.png', 6.193806647174169
11, 12, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0013.png', 5.598318064811632
12, 13, './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/pour_chocolate,bread/1/rgb/rgb0014.png', 5.8575977075337935
