0, 1, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0002.png', 0.14391107199970504
1, 2, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0003.png', 0.1097497188812857
2, 3, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0004.png', 0.0995325000595133
3, 4, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0005.png', 0.14986119221418437
4, 5, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0006.png', 0.1381694904587296
5, 6, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0007.png', 0.13981783775769413
6, 7, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0008.png', 0.15605888334852308
7, 8, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0009.png', 0.15226594643194236
8, 9, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0010.png', 0.1920442764115764
9, 10, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0011.png', 0.16888775724318505
10, 11, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0012.png', 0.15367447393764377
11, 12, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0013.png', 0.12024931045984383
12, 13, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0014.png', 0.11601242960617933
13, 14, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0015.png', 0.16761612553242752
14, 15, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0016.png', 0.2024903714857746
15, 16, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0017.png', 0.18018246583661182
16, 17, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0018.png', 0.21900916927308395
17, 18, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0019.png', 0.1975080250176726
18, 19, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0020.png', 0.2053641598826239
19, 20, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0021.png', 0.2576989833791585
20, 21, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0022.png', 0.1978074779731601
21, 22, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0023.png', 0.16542814837615555
22, 23, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0024.png', 0.19729402260839318
23, 24, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0025.png', 0.1725022837114929
24, 25, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0026.png', 0.15080578462982097
25, 26, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0027.png', 0.16952229067971003
26, 27, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0028.png', 0.17880721521108733
27, 28, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0029.png', 0.16313805428799233
28, 29, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0029.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0030.png', 0.2137260690775822
29, 30, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0030.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0031.png', 0.185776634566822
30, 31, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0031.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0032.png', 0.1505226181186322
31, 32, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0032.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0033.png', 0.13416731845630206
32, 33, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0033.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0034.png', 0.11948704548435249
33, 34, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0034.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0035.png', 0.04525728265860904
34, 35, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0035.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0036.png', 0.04354397811762924
35, 36, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0036.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0037.png', 0.06996338494625352
36, 37, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0037.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0038.png', 0.06567430639999114
37, 38, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0038.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0039.png', 0.05146226327342998
38, 39, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0039.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0040.png', 0.059043104080178474
39, 40, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0040.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0041.png', 0.05418492108877962
40, 41, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0041.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0042.png', 0.19286544291703955
41, 42, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0042.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0043.png', 0.1583380132685498
42, 43, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0043.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0044.png', 0.14548979513333618
43, 44, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0044.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0045.png', 0.16226484881870276
44, 45, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0045.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0046.png', 0.16400961838637212
45, 46, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0046.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/mmaps/map0047.png', 0.18111189128055044
