0, 1, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0001.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0002.png', 0.3701512567424241
1, 2, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0002.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0003.png', 0.3319000690493189
2, 3, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0003.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0004.png', 0.27746796839850485
3, 4, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0004.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0005.png', 0.22171302686961827
4, 5, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0005.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0006.png', 0.1738058076562358
5, 6, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0006.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0007.png', 0.1632757785140297
6, 7, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0007.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0008.png', 0.16254077589949203
7, 8, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0008.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0009.png', 0.18053674097690017
8, 9, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0009.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0010.png', 0.14696763904351703
9, 10, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0010.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0011.png', 0.5926484010769548
10, 11, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0011.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0012.png', 0.4768653041143224
11, 12, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0012.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0013.png', 0.28858109013672567
12, 13, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0013.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0014.png', 0.2678369832391401
13, 14, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0014.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0015.png', 0.2439351359716178
14, 15, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0015.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0016.png', 0.20780285731290843
15, 16, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0016.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0017.png', 0.18599558564793625
16, 17, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0017.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0018.png', 0.2030410046791633
17, 18, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0018.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0019.png', 0.17724982583768176
18, 19, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0019.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0020.png', 0.20557484194880102
19, 20, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0020.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0021.png', 0.19523501905906826
20, 21, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0021.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0022.png', 0.2023208279376369
21, 22, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0022.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0023.png', 0.20692119511637208
22, 23, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0023.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0024.png', 0.1850314768606417
23, 24, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0024.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0025.png', 0.18164220038843537
24, 25, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0025.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/3/mmaps/map0026.png', 0.19208752902954113
