0, 1, './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00002.png', 5.069303314291001
1, 2, './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00003.png', 5.129040255713398
2, 3, './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00004.png', 5.257271559073339
3, 4, './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00005.png', 5.068316252711019
4, 5, './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00006.png', 4.718352011536983
5, 6, './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00007.png', 4.973646752272477
6, 7, './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00008.png', 4.893882662479495
7, 8, './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00009.png', 4.601866084355079
8, 9, './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00010.png', 4.314099904668232
9, 10, './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00011.png', 4.854052663992627
10, 11, './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00012.png', 4.551964251514159
11, 12, './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00013.png', 4.990402360533999
12, 13, './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S2/pour_chocolate,bread/1/flow_y_00014.png', 5.214975457867201
