0, 1, './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0001.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0002.png', 0.328030814707734
1, 2, './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0002.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0003.png', 0.3066199043739586
2, 3, './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0003.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0004.png', 0.3183882534652916
3, 4, './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0004.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0005.png', 0.30929383803621346
4, 5, './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0005.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0006.png', 0.24753435006945165
5, 6, './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0006.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0007.png', 0.2148448415056364
6, 7, './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0007.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0008.png', 0.16866093149667025
7, 8, './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0008.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0009.png', 0.12888618865653734
8, 9, './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0009.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0010.png', 0.07638974282025213
9, 10, './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0010.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0011.png', 0.6506532855716932
10, 11, './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0011.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0012.png', 0.43586201450988804
11, 12, './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0012.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0013.png', 0.3898570578114546
12, 13, './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0013.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0014.png', 0.4092663824872889
13, 14, './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0014.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0015.png', 0.4050946552491831
14, 15, './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0015.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0016.png', 0.3618222208516651
15, 16, './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0016.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0017.png', 0.27724578122261223
16, 17, './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0017.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0018.png', 0.23591054549879723
17, 18, './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0018.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0019.png', 0.19117844353943103
18, 19, './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0019.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0020.png', 0.11467550533614673
19, 20, './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0020.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0021.png', 0.16611298932806642
20, 21, './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0021.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/mmaps/map0022.png', 0.14563303133572938
