0, 1, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00001.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00002.png', 5.1321519549709445
1, 2, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00002.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00003.png', 5.471393756194686
2, 3, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00003.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00004.png', 4.185951743596149
3, 4, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00004.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00005.png', 4.13218656117195
4, 5, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00005.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00006.png', 4.147860440239833
5, 6, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00006.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00007.png', 4.302827007709011
6, 7, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00007.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00008.png', 4.402462122257865
7, 8, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00008.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00009.png', 4.553418789715808
8, 9, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00009.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00010.png', 4.689025151231742
9, 10, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00010.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00011.png', 4.883014013772606
10, 11, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00011.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00012.png', 4.901374295170571
11, 12, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00012.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00013.png', 4.474262431671459
12, 13, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00013.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00014.png', 5.088735854343433
13, 14, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00014.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00015.png', 3.9515305127139504
14, 15, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00015.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00016.png', 3.7991200535385135
15, 16, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00016.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00017.png', 4.663188064347697
16, 17, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00017.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00018.png', 4.548914706132961
17, 18, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00018.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00019.png', 4.360600355955016
18, 19, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00019.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00020.png', 5.1888906818848195
19, 20, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00020.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00021.png', 4.4699907964427545
20, 21, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00021.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00022.png', 4.52893247213687
21, 22, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00022.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00023.png', 4.068560180710943
22, 23, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00023.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00024.png', 4.442060329900218
23, 24, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00024.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00025.png', 4.330211454115136
24, 25, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00025.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00026.png', 4.947238455921104
25, 26, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00026.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00027.png', 4.4632899312394905
26, 27, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00027.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00028.png', 4.355273376995205
27, 28, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00028.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00029.png', 4.8057332525694765
28, 29, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00029.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00030.png', 4.970592659494835
29, 30, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00030.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00031.png', 4.7211685183289065
30, 31, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00031.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00032.png', 4.014944851351961
31, 32, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00032.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00033.png', 4.203723581297908
32, 33, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00033.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00034.png', 4.143427923229071
33, 34, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00034.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00035.png', 4.447557816112764
34, 35, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00035.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00036.png', 4.592329174798339
35, 36, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00036.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00037.png', 5.08085478325869
36, 37, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00037.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00038.png', 5.033368032880929
37, 38, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00038.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00039.png', 4.914268744301316
38, 39, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00039.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00040.png', 4.6182218041817755
39, 40, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00040.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00041.png', 5.312486445377621
40, 41, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00041.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00042.png', 4.5290529796436125
41, 42, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00042.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00043.png', 4.969715835429955
42, 43, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00043.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00044.png', 5.242660447029311
43, 44, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00044.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00045.png', 4.916023936199024
44, 45, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00045.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00046.png', 5.038368023998104
45, 46, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00046.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00047.png', 4.917214704580403
46, 47, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00047.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00048.png', 5.203951715981233
47, 48, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00048.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00049.png', 4.362504291030137
48, 49, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00049.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00050.png', 4.616744818650299
49, 50, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00050.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00051.png', 4.096320295277364
50, 51, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00051.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00052.png', 4.096416484398027
51, 52, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00052.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00053.png', 4.570449678890813
52, 53, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00053.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00054.png', 4.578326692682983
53, 54, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00054.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00055.png', 4.777695154925807
54, 55, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00055.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00056.png', 4.319419593135155
55, 56, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00056.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00057.png', 5.088484555274509
56, 57, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00057.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00058.png', 4.842533776973967
57, 58, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00058.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00059.png', 5.185897939990264
58, 59, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00059.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00060.png', 4.52729398432642
59, 60, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00060.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00061.png', 4.139084890109767
60, 61, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00061.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00062.png', 5.176979763418221
61, 62, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00062.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00063.png', 4.196490852302482
62, 63, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00063.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00064.png', 3.893498015615713
63, 64, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00064.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00065.png', 4.327485607668743
64, 65, './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00065.png', './GTEA61/flow_y_processed/S4/stir_spoon,cup/3/flow_y_00066.png', 4.455899804189067
