0, 1, './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00001.png', './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00002.png', 5.875101866038712
1, 2, './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00002.png', './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00003.png', 6.629067671175786
2, 3, './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00003.png', './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00004.png', 6.092552066702994
3, 4, './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00004.png', './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00005.png', 6.805077791535239
4, 5, './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00005.png', './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00006.png', 6.287371466182813
5, 6, './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00006.png', './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00007.png', 5.03760274435165
6, 7, './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00007.png', './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00008.png', 5.1124212847410035
7, 8, './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00008.png', './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00009.png', 4.575010299872909
8, 9, './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00009.png', './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00010.png', 4.298006670478035
9, 10, './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00010.png', './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00011.png', 4.533166859913347
10, 11, './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00011.png', './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00012.png', 5.069781315840491
11, 12, './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00012.png', './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00013.png', 5.970663936282568
12, 13, './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00013.png', './GTEA61/flow_y_processed/S3/pour_coffee,spoon,cup/4/flow_y_00014.png', 6.507655005262061
