0, 1, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00001.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00002.png', 4.8727958187784255
1, 2, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00002.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00003.png', 5.186650846737886
2, 3, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00003.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00004.png', 5.44012032428307
3, 4, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00004.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00005.png', 5.418846340534477
4, 5, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00005.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00006.png', 5.208496206779642
5, 6, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00006.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00007.png', 5.53983129398285
6, 7, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00007.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00008.png', 5.986954871411531
7, 8, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00008.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00009.png', 5.75333378189271
8, 9, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00009.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00010.png', 5.470786598370183
9, 10, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00010.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00011.png', 5.460976526357658
10, 11, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00011.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00012.png', 5.913649862836062
11, 12, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00012.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00013.png', 6.435201583026692
12, 13, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00013.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00014.png', 5.588289758747555
13, 14, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00014.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00015.png', 5.690393182382017
14, 15, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00015.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00016.png', 6.070462905113541
15, 16, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00016.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00017.png', 5.829597273455596
16, 17, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00017.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00018.png', 5.461434850505894
17, 18, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00018.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00019.png', 4.969851722254528
18, 19, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00019.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00020.png', 4.847910885218074
19, 20, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00020.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00021.png', 5.2298778065492
20, 21, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00021.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00022.png', 5.480858674782474
21, 22, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00022.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00023.png', 4.852659186661455
22, 23, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00023.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00024.png', 5.609594496661476
23, 24, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00024.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00025.png', 5.269917153019673
24, 25, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00025.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00026.png', 5.338897424380724
25, 26, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00026.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00027.png', 5.250986240194587
26, 27, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00027.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00028.png', 5.100220824174064
27, 28, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00028.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00029.png', 5.449740806486695
28, 29, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00029.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00030.png', 5.02302725659986
29, 30, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00030.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00031.png', 5.583383098981907
30, 31, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00031.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00032.png', 4.453529628676374
31, 32, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00032.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00033.png', 4.616668734724338
32, 33, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00033.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00034.png', 4.292261382814572
33, 34, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00034.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00035.png', 4.759264477992405
34, 35, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00035.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00036.png', 4.729881996686672
35, 36, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00036.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00037.png', 4.742531146056854
36, 37, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00037.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00038.png', 4.8572238141539605
37, 38, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00038.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00039.png', 5.042539092147878
38, 39, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00039.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00040.png', 4.861004410286103
39, 40, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00040.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00041.png', 4.704626468600663
40, 41, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00041.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00042.png', 5.724394799250319
41, 42, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00042.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00043.png', 5.138097040096028
42, 43, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00043.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00044.png', 4.9195640123364335
43, 44, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00044.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00045.png', 5.1335968874083555
44, 45, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00045.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00046.png', 4.474361334006798
45, 46, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00046.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00047.png', 4.988343699777854
46, 47, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00047.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00048.png', 4.773890767115124
47, 48, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00048.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00049.png', 4.285839693991343
48, 49, './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00049.png', './GTEA61/flow_x_processed/S1/stir_spoon,cup/3/flow_x_00050.png', 4.699608367218996
