0, 1, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0002.png', 4.859562835347308
1, 2, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0003.png', 5.001861671381661
2, 3, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0004.png', 4.653974811144312
3, 4, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0005.png', 5.750315823449996
4, 5, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0006.png', 5.174593264390035
5, 6, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0007.png', 4.4119676042441975
6, 7, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0008.png', 4.586951738589488
7, 8, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0009.png', 5.308099746705915
8, 9, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0010.png', 4.706565542872056
9, 10, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0011.png', 4.30243319872237
10, 11, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0012.png', 4.956177113261778
11, 12, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0013.png', 4.910325755135127
12, 13, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0014.png', 5.22198361838934
13, 14, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0015.png', 5.176425842215647
14, 15, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0016.png', 4.94581898727693
15, 16, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0017.png', 5.610989368047102
16, 17, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0018.png', 4.820916665818116
17, 18, './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S3/spread_peanut,spoon,bread/1/rgb/rgb0019.png', 4.8966625204587295
