0, 1, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00001.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00002.png', 6.038597551523682
1, 2, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00002.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00003.png', 7.450899514762099
2, 3, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00003.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00004.png', 6.326580513942873
3, 4, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00004.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00005.png', 5.520812300965707
4, 5, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00005.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00006.png', 5.463150752924471
5, 6, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00006.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00007.png', 6.093177750294882
6, 7, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00007.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00008.png', 4.4973695279056525
7, 8, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00008.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00009.png', 5.502913134525624
8, 9, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00009.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00010.png', 4.321554186644672
9, 10, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00010.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00011.png', 5.337076430474372
10, 11, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00011.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00012.png', 5.57176153561181
11, 12, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00012.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00013.png', 4.44163822212226
12, 13, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00013.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00014.png', 4.7051461502280985
13, 14, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00014.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00015.png', 5.263671241428433
14, 15, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00015.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00016.png', 4.702702837677932
15, 16, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00016.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00017.png', 4.830932713651289
16, 17, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00017.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00018.png', 4.836892389863952
17, 18, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00018.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00019.png', 5.867365430120869
18, 19, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00019.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00020.png', 4.388752970175654
19, 20, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00020.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00021.png', 5.75054042625523
20, 21, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00021.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00022.png', 4.730717972014916
21, 22, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00022.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00023.png', 4.632134544523485
22, 23, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00023.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00024.png', 4.988455841784101
23, 24, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00024.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00025.png', 5.121313886498992
24, 25, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00025.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00026.png', 4.697986227589159
25, 26, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00026.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00027.png', 3.7169691557684015
26, 27, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00027.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00028.png', 4.109505271069592
27, 28, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00028.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00029.png', 5.6454880548964015
28, 29, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00029.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00030.png', 5.126496002479061
29, 30, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00030.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00031.png', 5.640418605251712
30, 31, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00031.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00032.png', 4.891436468380784
31, 32, './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00032.png', './GTEA61/flow_y_processed/S4/put_bread,bread/2/flow_y_00033.png', 6.013679153721095
