0, 1, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0002.png', 4.966235697390018
1, 2, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0003.png', 4.729825180488158
2, 3, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0004.png', 4.867946615226691
3, 4, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0005.png', 5.178548631416593
4, 5, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0006.png', 5.22848897941722
5, 6, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0007.png', 5.106289205128692
6, 7, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0008.png', 4.868683062197714
7, 8, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0009.png', 5.2863073784144134
8, 9, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0010.png', 5.479557376059344
9, 10, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0011.png', 5.180493420486894
10, 11, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0012.png', 5.14068213028905
11, 12, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0013.png', 5.1602218888416695
12, 13, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0014.png', 5.325204662835863
13, 14, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0015.png', 5.087488353160594
14, 15, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0016.png', 4.882469108339695
15, 16, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0017.png', 4.648181236331744
16, 17, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0018.png', 5.245921460102826
17, 18, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0019.png', 5.441832889314041
18, 19, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0020.png', 5.317726326481968
19, 20, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0021.png', 5.040924496003622
20, 21, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0022.png', 4.7565740973113115
21, 22, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0023.png', 4.932693768577211
22, 23, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0024.png', 5.036612066137736
23, 24, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0025.png', 5.333301319251246
24, 25, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0026.png', 5.265594589627492
25, 26, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0027.png', 4.706290524302884
26, 27, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0028.png', 4.513998642212063
27, 28, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0029.png', 4.955637597655292
28, 29, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0030.png', 5.008418732011581
29, 30, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0031.png', 4.8846808488598175
30, 31, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0032.png', 4.384430449637882
31, 32, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0033.png', 4.951170257740113
32, 33, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0034.png', 5.082298678514643
33, 34, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0035.png', 5.284868680153194
34, 35, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0036.png', 5.273604116849763
35, 36, './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S4/shake_tea,cup/1/rgb/rgb0037.png', 5.275563150982554
