0, 1, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0001.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0002.png', 0.4138861460261467
1, 2, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0002.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0003.png', 0.3313923401952906
2, 3, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0003.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0004.png', 0.3077824022510985
3, 4, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0004.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0005.png', 0.2714017674794345
4, 5, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0005.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0006.png', 0.2563950852550131
5, 6, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0006.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0007.png', 0.25400970449500937
6, 7, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0007.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0008.png', 0.2643259332426485
7, 8, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0008.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0009.png', 0.20405602347392257
8, 9, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0009.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0010.png', 0.19536395095650325
9, 10, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0010.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0011.png', 0.5121255320079835
10, 11, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0011.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0012.png', 0.38521328895714657
11, 12, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0012.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0013.png', 0.3247877773989948
12, 13, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0013.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0014.png', 0.3300363521992205
13, 14, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0014.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0015.png', 0.2820044342120835
14, 15, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0015.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0016.png', 0.29006898603262504
15, 16, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0016.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0017.png', 0.27602224793989216
16, 17, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0017.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0018.png', 0.2293819380446134
17, 18, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0018.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0019.png', 0.20121743680623033
18, 19, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0019.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0020.png', 0.18848483907434394
19, 20, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0020.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0021.png', 0.16277058951370954
20, 21, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0021.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0022.png', 0.1304232494941785
21, 22, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0022.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0023.png', 0.10875665492900183
22, 23, './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0023.png', './GTEA61/processed_frames2/S3/scoop_coffee,spoon/4/mmaps/map0024.png', 0.3066199043739586
