0, 1, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0002.png', 5.906277664605804
1, 2, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0003.png', 5.914424041725598
2, 3, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0004.png', 5.663551812045278
3, 4, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0005.png', 5.5035166067970405
4, 5, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0006.png', 5.539631712724629
5, 6, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0007.png', 5.243604182409878
6, 7, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0008.png', 5.4669026326038805
7, 8, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0009.png', 5.237196446955492
8, 9, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0010.png', 4.776255175397515
9, 10, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0011.png', 4.841081497433591
10, 11, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0012.png', 4.874944613334748
11, 12, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0013.png', 4.891819440992984
12, 13, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0014.png', 5.063080007380375
13, 14, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0015.png', 4.7486233280629415
14, 15, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0016.png', 4.490774633290535
15, 16, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0017.png', 4.476415935539722
16, 17, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0018.png', 4.718595797827425
17, 18, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0019.png', 4.943353270902018
18, 19, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0020.png', 5.298057639775883
19, 20, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0020.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0021.png', 5.337903862259898
20, 21, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0021.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0022.png', 5.029255506431124
21, 22, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0022.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0023.png', 5.195358975598041
22, 23, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0023.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0024.png', 5.289345417698233
23, 24, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0024.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0025.png', 5.271906225841652
24, 25, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0025.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0026.png', 5.175386318208051
25, 26, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0026.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0027.png', 5.193038286404903
26, 27, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0027.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0028.png', 5.362329379430482
27, 28, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0028.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0029.png', 5.399112193389501
28, 29, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0029.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0030.png', 5.321344659623617
29, 30, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0030.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0031.png', 5.416837974032488
30, 31, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0031.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0032.png', 5.629956424976071
31, 32, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0032.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0033.png', 5.400497435671654
32, 33, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0033.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0034.png', 5.371312181337659
33, 34, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0034.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0035.png', 4.906063911644067
34, 35, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0035.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0036.png', 5.167111260242551
35, 36, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0036.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0037.png', 5.354474827492261
36, 37, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0037.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0038.png', 5.623786216253586
37, 38, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0038.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0039.png', 5.834045135859585
38, 39, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0039.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0040.png', 5.7392292073243185
39, 40, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0040.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0041.png', 5.596612378817336
40, 41, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0041.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0042.png', 5.22656187295301
41, 42, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0042.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0043.png', 5.3637415016150785
42, 43, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0043.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0044.png', 5.351496694431188
43, 44, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0044.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0045.png', 5.227616112209052
44, 45, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0045.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0046.png', 5.639975983873399
45, 46, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0046.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0047.png', 5.390739994043946
46, 47, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0047.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0048.png', 5.47287405040369
47, 48, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0048.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/rgb/rgb0049.png', 5.721972253820964
