0, 1, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00001.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00002.png', 6.767548646564011
1, 2, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00002.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00003.png', 5.3901653041226405
2, 3, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00003.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00004.png', 5.805435764148694
3, 4, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00004.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00005.png', 5.4613034785739405
4, 5, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00005.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00006.png', 4.892261008072102
5, 6, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00006.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00007.png', 4.405782321604186
6, 7, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00007.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00008.png', 4.664229171132336
7, 8, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00008.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00009.png', 4.409303485846947
8, 9, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00009.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00010.png', 4.598501069299807
9, 10, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00010.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00011.png', 5.0939432320829185
10, 11, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00011.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00012.png', 4.647397816686826
11, 12, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00012.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00013.png', 4.364658226637045
12, 13, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00013.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00014.png', 4.195333438562541
13, 14, './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00014.png', './GTEA61/flow_x_processed/S3/scoop_peanut,spoon/2/flow_x_00015.png', 3.9717721426059236
