0, 1, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0001.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0002.png', 0.2749449126551996
1, 2, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0002.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0003.png', 0.16368870609844755
2, 3, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0003.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0004.png', 0.13416731845630206
3, 4, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0004.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0005.png', 0.11126030290846102
4, 5, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0005.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0006.png', 0.12024931045984383
5, 6, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0006.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0007.png', 0.11683282256312374
6, 7, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0007.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0008.png', 0.1294322620770971
7, 8, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0008.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0009.png', 0.11570432628923431
8, 9, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0009.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0010.png', 0.061252633100958805
9, 10, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0010.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0011.png', 0.4011983194052801
10, 11, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0011.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0012.png', 0.28207791054514414
11, 12, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0012.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0013.png', 0.21106468843292475
12, 13, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0013.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0014.png', 0.09883353588316057
13, 14, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0014.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0015.png', 0.10172774558864012
14, 15, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0015.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0016.png', 0.13244730100737628
15, 16, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0016.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0017.png', 0.12594459123212134
16, 17, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0017.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0018.png', 0.13578255070665302
17, 18, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0018.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0019.png', 0.15428346434736404
18, 19, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0019.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0020.png', 0.05731060400639211
19, 20, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0020.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0021.png', 0.06895684339616011
20, 21, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0021.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0022.png', 0.15174837222239765
21, 22, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0022.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0023.png', 0.14034976010897132
22, 23, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0023.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0024.png', 0.13923679930755187
23, 24, './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0024.png', './GTEA61/processed_frames2/S4/scoop_coffee,spoon/1/mmaps/map0025.png', 0.11928352164564758
