0, 1, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0002.png', 0.39697293658040556
1, 2, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0003.png', 0.3542956543669604
2, 3, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0004.png', 0.37484360562645147
3, 4, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0005.png', 0.3989827494494003
4, 5, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0006.png', 0.36178997192628426
5, 6, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0007.png', 0.38343967085861425
6, 7, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0008.png', 0.40968503790161664
7, 8, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0009.png', 0.3880655100027707
8, 9, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0010.png', 0.38000275266983147
9, 10, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0011.png', 0.6170758399611846
10, 11, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0012.png', 0.4888429689017525
11, 12, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0013.png', 0.41625742708992125
12, 13, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0014.png', 0.424867249107042
13, 14, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0015.png', 0.46481791839763337
14, 15, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0016.png', 0.4055461661076326
15, 16, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0017.png', 0.4423115289303655
16, 17, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0018.png', 0.43989354005204273
17, 18, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0019.png', 0.5020409014005639
18, 19, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0020.png', 0.47319967749052694
19, 20, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0021.png', 0.4510524430240763
20, 21, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0022.png', 0.3687813562513813
21, 22, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0023.png', 0.3430657528293112
22, 23, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0024.png', 0.22509420242786543
23, 24, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0025.png', 0.2349142334438779
24, 25, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0026.png', 0.215382670810095
25, 26, './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S2/put_cheese,bread/1/mmaps/map0027.png', 0.3028351715369713
