0, 1, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0002.png', 5.116797538491077
1, 2, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0003.png', 5.148443423942169
2, 3, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0004.png', 4.9335978183278115
3, 4, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0005.png', 5.259467725205341
4, 5, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0006.png', 5.3056945770643
5, 6, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0007.png', 5.055989969057286
6, 7, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0008.png', 5.135711848036203
7, 8, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0009.png', 5.564982189268163
8, 9, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0010.png', 5.558636312114727
9, 10, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0011.png', 5.186032613308859
10, 11, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0012.png', 5.3775348147731705
11, 12, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0013.png', 4.813186249773128
12, 13, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0014.png', 5.27631070893823
13, 14, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0015.png', 5.332927550928966
14, 15, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0016.png', 5.152805733011294
15, 16, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0017.png', 5.567829218781269
16, 17, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0018.png', 5.5346266115109595
17, 18, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0019.png', 5.1366298602400295
18, 19, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0020.png', 4.979684970316746
19, 20, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0020.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0021.png', 5.224127147374129
20, 21, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0021.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0022.png', 5.393532472898748
21, 22, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0022.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0023.png', 5.610637532681401
22, 23, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0023.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0024.png', 5.507105836373681
23, 24, './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0024.png', './GTEA61/processed_frames2/S4/spread_peanut,spoon,bread/2/rgb/rgb0025.png', 4.898320661204538
