0, 1, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00002.png', 5.472937800103485
1, 2, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00002.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00003.png', 5.145817478297672
2, 3, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00003.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00004.png', 4.534246223624791
3, 4, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00004.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00005.png', 4.09494865666405
4, 5, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00005.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00006.png', 3.8439280735473154
5, 6, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00006.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00007.png', 4.178364938803618
6, 7, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00007.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00008.png', 4.357414222653322
7, 8, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00008.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00009.png', 4.402112987709378
8, 9, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00009.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00010.png', 4.0454722714303415
9, 10, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00010.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00011.png', 3.5888759417506293
10, 11, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00011.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00012.png', 3.9805123597121783
11, 12, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00012.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00013.png', 4.322560240900938
12, 13, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00013.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00014.png', 3.598214799002681
13, 14, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00014.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00015.png', 4.09122160026198
14, 15, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00015.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00016.png', 4.081631395266767
15, 16, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00016.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00017.png', 3.5419163283412
16, 17, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00017.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00018.png', 3.778903126830984
17, 18, './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00018.png', './GTEA61/flow_x_processed/S2/scoop_sugar,spoon/1/flow_x_00019.png', 3.5083621468718906
