0, 1, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0001.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0002.png', 0.4049139607650594
1, 2, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0002.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0003.png', 0.28001711098015014
2, 3, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0003.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0004.png', 0.28207791054514414
3, 4, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0004.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0005.png', 0.29454653107934836
4, 5, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0005.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0006.png', 0.3098552739416166
5, 6, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0006.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0007.png', 0.30573773746669375
6, 7, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0007.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0008.png', 0.32536936720604126
7, 8, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0008.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0009.png', 0.2111480598010667
8, 9, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0009.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0010.png', 0.16716113774205305
9, 10, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0010.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0011.png', 0.7419452535696864
10, 11, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0011.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0012.png', 0.5907843902364798
11, 12, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0012.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0013.png', 0.48346820180892136
12, 13, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0013.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0014.png', 0.5136974720511333
13, 14, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0014.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0015.png', 0.5104731876737327
14, 15, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0015.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0016.png', 0.4865716412246217
15, 16, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0016.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0017.png', 0.4226451992568209
16, 17, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0017.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0018.png', 0.4064181757168617
17, 18, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0018.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0019.png', 0.3459501350515152
18, 19, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0019.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0020.png', 0.22817184548971353
19, 20, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0020.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0021.png', 0.19484802700425422
20, 21, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0021.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0022.png', 0.21405780305785427
21, 22, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0022.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0023.png', 0.22768705662682734
22, 23, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0023.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0024.png', 0.20181186341063984
23, 24, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0024.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0025.png', 0.16396378733650327
24, 25, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0025.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0026.png', 0.08661107870850196
25, 26, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0026.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0027.png', 0.005612346419535356
26, 27, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0027.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0028.png', 0.01957903710346705
27, 28, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0028.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0029.png', 0.01479534182813929
28, 29, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0029.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0030.png', 0.01479534182813929
29, 30, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0030.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0031.png', -0.0
30, 31, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0031.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0032.png', -0.0
31, 32, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0032.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0033.png', -0.0
32, 33, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0033.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0034.png', -0.0
33, 34, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0034.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0035.png', -0.0
34, 35, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0035.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0036.png', -0.0
35, 36, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0036.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0037.png', -0.0
36, 37, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0037.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0038.png', -0.0
37, 38, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0038.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0039.png', -0.0
38, 39, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0039.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0040.png', -0.0
39, 40, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0040.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0041.png', -0.0
40, 41, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0041.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0042.png', -0.0
41, 42, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0042.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0043.png', -0.0
42, 43, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0043.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0044.png', -0.0
43, 44, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0044.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0045.png', -0.0
44, 45, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0045.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0046.png', -0.0
45, 46, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0046.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0047.png', -0.0
46, 47, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0047.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0048.png', -0.0
47, 48, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0048.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0049.png', -0.0
48, 49, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0049.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0050.png', -0.0
49, 50, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0050.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0051.png', -0.0
50, 51, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0051.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0052.png', -0.0
51, 52, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0052.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0053.png', -0.0
52, 53, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0053.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0054.png', -0.0
53, 54, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0054.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0055.png', -0.0
54, 55, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0055.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0056.png', -0.0
55, 56, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0056.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0057.png', -0.0
56, 57, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0057.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0058.png', -0.0
57, 58, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0058.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0059.png', -0.0
58, 59, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0059.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0060.png', -0.0
59, 60, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0060.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0061.png', -0.0
60, 61, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0061.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0062.png', -0.0
61, 62, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0062.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0063.png', -0.0
62, 63, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0063.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0064.png', -0.0
63, 64, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0064.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0065.png', -0.0
64, 65, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0065.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0066.png', -0.0
65, 66, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0066.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0067.png', -0.0
66, 67, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0067.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0068.png', -0.0
67, 68, './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0068.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/mmaps/map0069.png', -0.0
