0, 1, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0002.png', 0.41950351646007816
1, 2, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0003.png', 0.321733967323851
2, 3, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0004.png', 0.14005970300186407
3, 4, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0005.png', 0.16606736444174724
4, 5, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0006.png', 0.13495124305642997
5, 6, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0007.png', 0.0667530609157476
6, 7, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0008.png', 0.04831800564859712
7, 8, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0009.png', 0.08182720307701874
8, 9, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0010.png', 0.07137811551432473
9, 10, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0011.png', 0.5714115188027282
10, 11, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0012.png', 0.41749880640498377
11, 12, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0013.png', 0.3362830099306853
12, 13, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0014.png', 0.16661456999045524
13, 14, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0015.png', 0.1625867477508338
14, 15, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0016.png', 0.1404947146880198
15, 16, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0017.png', 0.10438642387918333
16, 17, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0018.png', 0.0954802338592537
17, 18, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0019.png', 0.09055209703928849
18, 19, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0020.png', 0.08689021334231893
19, 20, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0021.png', 0.10802319526362833
20, 21, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0022.png', 0.17069845876534034
21, 22, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0023.png', 0.2762819983513298
22, 23, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0024.png', 0.31227054609562416
23, 24, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0025.png', 0.2633405289665375
24, 25, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0026.png', 0.22277446649820035
25, 26, './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S3/put_bread,bread/1/mmaps/map0027.png', 0.24424902739924031
