0, 1, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00001.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00002.png', 5.580480402461757
1, 2, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00002.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00003.png', 5.547218708473643
2, 3, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00003.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00004.png', 4.284073226351323
3, 4, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00004.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00005.png', 4.262934749412995
4, 5, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00005.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00006.png', 5.020532911161261
5, 6, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00006.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00007.png', 4.868450581226163
6, 7, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00007.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00008.png', 5.462043706997857
7, 8, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00008.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00009.png', 4.118189104268997
8, 9, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00009.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00010.png', 4.6022817852045526
9, 10, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00010.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00011.png', 3.989264339038368
10, 11, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00011.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00012.png', 4.484701826359537
11, 12, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00012.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00013.png', 4.67013495527534
12, 13, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00013.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00014.png', 4.423035295110932
13, 14, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00014.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00015.png', 3.703717816703977
14, 15, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00015.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00016.png', 3.781318763986285
15, 16, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00016.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00017.png', 4.316496467193229
16, 17, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00017.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00018.png', 3.294849621097706
17, 18, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00018.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00019.png', 4.729732842523902
18, 19, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00019.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00020.png', 3.68085086295054
19, 20, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00020.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00021.png', 4.28606291439456
20, 21, './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00021.png', './GTEA61/flow_y_processed/S4/scoop_coffee,spoon/2/flow_y_00022.png', 4.691102765671529
