0, 1, './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00002.png', 5.791874382460997
1, 2, './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00003.png', 6.351151068491729
2, 3, './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00004.png', 5.679110335127142
3, 4, './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00005.png', 4.496625044209017
4, 5, './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00006.png', 4.270947341041526
5, 6, './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00007.png', 4.354689206735412
6, 7, './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00008.png', 5.733995233653719
7, 8, './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00009.png', 4.578588509609315
8, 9, './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00010.png', 4.776849341040444
9, 10, './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00011.png', 4.641462139860915
10, 11, './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00012.png', 4.432981608519328
11, 12, './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00013.png', 4.308431715729504
12, 13, './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00014.png', 5.063653857867901
13, 14, './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00015.png', 3.7438006064100784
14, 15, './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00016.png', 4.271698271951398
15, 16, './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00017.png', 4.620285848412658
16, 17, './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00018.png', 3.6174867704968334
17, 18, './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00019.png', 3.5144555634375525
18, 19, './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00020.png', 3.1653836684689383
19, 20, './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S1/put_hotdog,bread/1/flow_y_00021.png', 4.630203850600534
