0, 1, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0001.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0002.png', 0.28530187336177304
1, 2, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0002.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0003.png', 0.2657631265376308
2, 3, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0003.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0004.png', 0.2151758777337502
3, 4, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0004.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0005.png', 0.04883451660551288
4, 5, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0005.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0006.png', 0.04308013802335405
5, 6, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0006.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0007.png', 0.044731688055235086
6, 7, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0007.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0008.png', 0.03086400259717498
7, 8, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0008.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0009.png', 0.03284575547921143
8, 9, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0009.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0010.png', -0.0
9, 10, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0010.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0011.png', 0.5518457951230373
10, 11, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0011.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0012.png', 0.2747217684082021
11, 12, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0012.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0013.png', 0.3031189629041826
12, 13, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0013.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0014.png', 0.2915531795672134
13, 14, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0014.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0015.png', 0.0794926840164171
14, 15, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0015.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0016.png', 0.05569047962046332
15, 16, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0016.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0017.png', 0.04734610866527085
16, 17, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0017.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0018.png', 0.042149099120232854
17, 18, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0018.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0019.png', 0.03980121081665076
18, 19, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0019.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0020.png', 0.0089242343066975
19, 20, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0020.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0021.png', 0.0089242343066975
20, 21, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0021.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0022.png', 0.01633665552988666
21, 22, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0022.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0023.png', 0.02143103036196716
22, 23, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0023.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0024.png', 0.01641704712109765
23, 24, './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0024.png', './GTEA61/processed_frames2/S1/scoop_coffee,spoon/2/mmaps/map0025.png', 0.018797846523535888
