0, 1, './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00002.png', 4.981194282858096
1, 2, './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00003.png', 5.588240808555463
2, 3, './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00004.png', 5.67933903100454
3, 4, './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00005.png', 5.232300401692653
4, 5, './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00006.png', 6.087770810438761
5, 6, './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00007.png', 5.429092746760236
6, 7, './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00008.png', 5.665761622575389
7, 8, './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00009.png', 5.345412836793914
8, 9, './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00010.png', 4.930777921982555
9, 10, './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00011.png', 5.161698261965892
10, 11, './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00012.png', 5.610901178964661
11, 12, './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00013.png', 5.141905012826457
12, 13, './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00014.png', 5.862334871351946
13, 14, './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S1/pour_chocolate,bread/1/flow_y_00015.png', 6.0354836705026
