0, 1, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0002.png', 5.936539375416254
1, 2, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0003.png', 5.812295342430953
2, 3, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0004.png', 5.323891564839538
3, 4, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0005.png', 5.294975176091498
4, 5, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0006.png', 5.873621626824483
5, 6, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0007.png', 5.584568753555205
6, 7, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0008.png', 6.202356989331895
7, 8, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0009.png', 6.286534312742181
8, 9, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0010.png', 5.3728951230418245
9, 10, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0011.png', 5.5844231129802555
10, 11, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0012.png', 5.752679387000303
11, 12, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0013.png', 5.68840542581439
12, 13, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0014.png', 6.413663635619999
13, 14, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0015.png', 6.449852972442231
14, 15, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0016.png', 5.716164002822684
15, 16, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0017.png', 5.642376387117358
16, 17, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0018.png', 5.216941092271006
17, 18, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0019.png', 5.387582438343279
18, 19, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0020.png', 5.596763405624279
19, 20, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0021.png', 5.432025501283158
20, 21, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0022.png', 4.6175654900382295
21, 22, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/rgb/rgb0023.png', 4.980624906074653
