0, 1, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0002.png', 6.055097267990975
1, 2, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0003.png', 5.748708829330331
2, 3, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0004.png', 5.437789585150905
3, 4, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0005.png', 5.332224808941111
4, 5, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0006.png', 5.117712341397905
5, 6, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0007.png', 4.956574658411052
6, 7, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0008.png', 5.422945345412852
7, 8, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0009.png', 5.475459600214948
8, 9, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0010.png', 5.069710681861561
9, 10, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0011.png', 5.0096297288848195
10, 11, './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/put_bread,cheese,bread/1/rgb/rgb0012.png', 5.304500696919881
