0, 1, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00001.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00002.png', 5.668506379461224
1, 2, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00002.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00003.png', 5.838316729485338
2, 3, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00003.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00004.png', 5.246632576998663
3, 4, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00004.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00005.png', 5.551519426641082
4, 5, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00005.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00006.png', 5.576757764132848
5, 6, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00006.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00007.png', 5.785708299015237
6, 7, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00007.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00008.png', 5.010419410625909
7, 8, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00008.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00009.png', 5.110925281417679
8, 9, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00009.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00010.png', 4.888462985081865
9, 10, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00010.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00011.png', 4.535044370251611
10, 11, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00011.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00012.png', 5.983482354361228
11, 12, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00012.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00013.png', 4.11007457464565
12, 13, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00013.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00014.png', 4.646872472467951
13, 14, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00014.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00015.png', 4.572166092886005
14, 15, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00015.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00016.png', 4.475470913227772
15, 16, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00016.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00017.png', 4.847253118422544
16, 17, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00017.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00018.png', 4.643872314651966
17, 18, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00018.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00019.png', 4.257817803768756
18, 19, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00019.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00020.png', 4.127451423717601
19, 20, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00020.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00021.png', 3.8974164175012582
20, 21, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00021.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00022.png', 3.8555084013790006
21, 22, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00022.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00023.png', 3.7141321442822286
22, 23, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00023.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00024.png', 4.228954713734663
23, 24, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00024.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00025.png', 3.6933723405407703
24, 25, './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00025.png', './GTEA61/flow_y_processed/S2/pour_honey,cup/1/flow_y_00026.png', 3.475839030974977
