0, 1, './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00002.png', 6.093313818156908
1, 2, './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00002.png', './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00003.png', 6.679607479046521
2, 3, './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00003.png', './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00004.png', 5.654063151936097
3, 4, './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00004.png', './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00005.png', 5.974653036625631
4, 5, './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00005.png', './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00006.png', 5.570714634553279
5, 6, './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00006.png', './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00007.png', 5.364132559707042
6, 7, './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00007.png', './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00008.png', 6.652803961149957
7, 8, './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00008.png', './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00009.png', 5.152237838646786
8, 9, './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00009.png', './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00010.png', 4.801778011408014
9, 10, './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00010.png', './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00011.png', 4.842052123655046
10, 11, './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00011.png', './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00012.png', 4.698064667099266
11, 12, './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00012.png', './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00013.png', 5.0639669706573045
12, 13, './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00013.png', './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00014.png', 4.793464331206516
13, 14, './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00015.png', 4.059423581418674
14, 15, './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00016.png', 4.329938214219162
15, 16, './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00017.png', 4.763023791820991
16, 17, './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S4/put_bread,cheese,bread/1/flow_y_00018.png', 4.861885221774999
