0, 1, './GTEA61/processed_frames2/S1/pour_water,cup/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/rgb/rgb0002.png', 5.263527378471904
1, 2, './GTEA61/processed_frames2/S1/pour_water,cup/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/rgb/rgb0003.png', 5.378272164251005
2, 3, './GTEA61/processed_frames2/S1/pour_water,cup/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/rgb/rgb0004.png', 5.158841840518074
3, 4, './GTEA61/processed_frames2/S1/pour_water,cup/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/rgb/rgb0005.png', 4.999127880438737
4, 5, './GTEA61/processed_frames2/S1/pour_water,cup/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/rgb/rgb0006.png', 5.165307583545428
5, 6, './GTEA61/processed_frames2/S1/pour_water,cup/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/rgb/rgb0007.png', 5.218969628310148
6, 7, './GTEA61/processed_frames2/S1/pour_water,cup/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/rgb/rgb0008.png', 5.467777298084926
7, 8, './GTEA61/processed_frames2/S1/pour_water,cup/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/rgb/rgb0009.png', 5.425691795180764
8, 9, './GTEA61/processed_frames2/S1/pour_water,cup/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/rgb/rgb0010.png', 5.3869458367283425
9, 10, './GTEA61/processed_frames2/S1/pour_water,cup/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/rgb/rgb0011.png', 5.405282515190013
10, 11, './GTEA61/processed_frames2/S1/pour_water,cup/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/rgb/rgb0012.png', 5.289700567574752
11, 12, './GTEA61/processed_frames2/S1/pour_water,cup/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/pour_water,cup/1/rgb/rgb0013.png', 5.003877983111662
