0, 1, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0002.png', 0.08983410491134762
1, 2, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0003.png', 0.03646221512555808
2, 3, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0004.png', 0.045126013519396685
3, 4, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0005.png', 0.038105527263807885
4, 5, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0006.png', 0.028711317700951172
5, 6, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0007.png', 0.02586299696652629
6, 7, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0008.png', 0.026231523591515288
7, 8, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0009.png', 0.01649736862931219
8, 9, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0010.png', -0.0
9, 10, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0011.png', 0.09038654746745269
10, 11, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0012.png', 0.08733631762185931
11, 12, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0013.png', 0.05165329772353475
12, 13, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0014.png', 0.052352350033065265
13, 14, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0015.png', 0.04773541061022521
14, 15, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0016.png', 0.034246156079008314
15, 16, './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S4/pour_mayonnaise,cheese,bread/1/mmaps/map0017.png', 0.02475113733720695
