0, 1, './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00001.png', './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00002.png', 5.187153775766568
1, 2, './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00002.png', './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00003.png', 5.359069311615954
2, 3, './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00003.png', './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00004.png', 5.142195686830639
3, 4, './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00004.png', './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00005.png', 4.0046094962589835
4, 5, './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00005.png', './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00006.png', 4.117773609563821
5, 6, './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00006.png', './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00007.png', 4.2198699570586005
6, 7, './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00007.png', './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00008.png', 5.6781572825070805
7, 8, './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00008.png', './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00009.png', 5.309002461982692
8, 9, './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00009.png', './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00010.png', 5.490909906163511
9, 10, './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00010.png', './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00011.png', 4.48161995119236
10, 11, './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00011.png', './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00012.png', 4.133864376181371
11, 12, './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00012.png', './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00013.png', 4.852713591833922
12, 13, './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00013.png', './GTEA61/flow_x_processed/S2/put_bread,bread/2/flow_x_00014.png', 4.196845309192574
