0, 1, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00001.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00002.png', 6.428255590765005
1, 2, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00002.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00003.png', 4.467245969216889
2, 3, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00003.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00004.png', 5.01162696360936
3, 4, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00004.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00005.png', 4.4681011344481565
4, 5, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00005.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00006.png', 3.346914434209367
5, 6, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00006.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00007.png', 3.7307540200416995
6, 7, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00007.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00008.png', 4.201085635599064
7, 8, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00008.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00009.png', 4.21405292490381
8, 9, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00009.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00010.png', 4.420864182850688
9, 10, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00010.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00011.png', 3.8631705992762737
10, 11, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00011.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00012.png', 3.986004992183998
11, 12, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00012.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00013.png', 4.798067148575826
12, 13, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00013.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00014.png', 4.6521629280896
13, 14, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00014.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00015.png', 3.66120506651458
14, 15, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00015.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00016.png', 4.550255426387588
15, 16, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00016.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00017.png', 4.626055854796788
16, 17, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00017.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00018.png', 3.962115944756681
17, 18, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00018.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00019.png', 4.600382454148104
18, 19, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00019.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00020.png', 4.436369935149934
19, 20, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00020.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00021.png', 3.9579260916734023
20, 21, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00021.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00022.png', 3.691498012406251
21, 22, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00022.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00023.png', 3.6875617712411515
22, 23, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00023.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00024.png', 3.3715826355490544
23, 24, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00024.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00025.png', 3.5255408697838484
24, 25, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00025.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00026.png', 3.9887275555066375
25, 26, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00026.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00027.png', 4.368617471729594
26, 27, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00027.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00028.png', 4.487071898684126
27, 28, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00028.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00029.png', 5.5901831023932225
28, 29, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00029.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00030.png', 4.94451605930061
29, 30, './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00030.png', './GTEA61/flow_y_processed/S2/scoop_sugar,spoon/4/flow_y_00031.png', 5.106103367319347
