0, 1, './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0002.png', 5.546380635687107
1, 2, './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0003.png', 5.490236930036579
2, 3, './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0004.png', 5.594674276446106
3, 4, './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0005.png', 5.36839246993492
4, 5, './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0006.png', 5.266937109700326
5, 6, './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0007.png', 5.443808977803191
6, 7, './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0008.png', 5.189479057271818
7, 8, './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0009.png', 4.5950040727561365
8, 9, './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0010.png', 5.121344918787747
9, 10, './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0011.png', 5.183975378959564
10, 11, './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0012.png', 4.484350215931494
11, 12, './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0013.png', 4.435641444130954
12, 13, './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0014.png', 4.720112054896107
13, 14, './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0015.png', 5.093191161230215
14, 15, './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0016.png', 5.449606454762897
15, 16, './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0017.png', 5.8778302382018515
16, 17, './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0018.png', 6.441964852555182
17, 18, './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0019.png', 6.5048252081397555
18, 19, './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0020.png', 6.220628609528549
19, 20, './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S4/put_cheese,bread/1/rgb/rgb0021.png', 6.0360314290487995
