0, 1, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00002.png', 5.324072837206973
1, 2, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00002.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00003.png', 4.798380537255771
2, 3, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00003.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00004.png', 5.323648351520356
3, 4, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00004.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00005.png', 4.998612039552726
4, 5, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00005.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00006.png', 5.144214933775395
5, 6, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00006.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00007.png', 4.464903269041951
6, 7, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00007.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00008.png', 5.070109937639158
7, 8, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00008.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00009.png', 5.091863392823846
8, 9, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00009.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00010.png', 4.364567697659035
9, 10, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00010.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00011.png', 3.8747958930931103
10, 11, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00011.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00012.png', 3.8295504907602336
11, 12, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00012.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00013.png', 4.3509093743012865
12, 13, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00013.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00014.png', 4.216765591103341
13, 14, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00015.png', 4.159583036744834
14, 15, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00016.png', 4.3944138877413
15, 16, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00017.png', 4.426168626443404
16, 17, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00018.png', 4.656439675872792
17, 18, './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S4/pour_mustard,cheese,bread/1/flow_x_00019.png', 5.334097143855824
