0, 1, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0002.png', 0.2599164579713896
1, 2, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0003.png', 0.3038632817346168
2, 3, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0004.png', 0.31491980777143486
3, 4, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0005.png', 0.2525814014848305
4, 5, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0006.png', 0.3065493782667017
5, 6, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0007.png', 0.31835366621917205
6, 7, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0008.png', 0.2648180063166605
7, 8, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0009.png', 0.2775420121385527
8, 9, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0010.png', 0.2681756374512956
9, 10, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0011.png', 0.3724066794996152
10, 11, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0012.png', 0.2916254849674208
11, 12, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0013.png', 0.2914447050550265
12, 13, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0014.png', 0.29741760510285103
13, 14, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0015.png', 0.3443604049143102
14, 15, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/mmaps/map0016.png', 0.335913345336441
