0, 1, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0002.png', 5.827965779455924
1, 2, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0002.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0003.png', 6.002362261030788
2, 3, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0003.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0004.png', 6.09998589140834
3, 4, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0004.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0005.png', 6.461015823438412
4, 5, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0005.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0006.png', 6.953271930617845
5, 6, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0006.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0007.png', 7.026037422510183
6, 7, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0007.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0008.png', 6.873291024456086
7, 8, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0008.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0009.png', 6.595550706981021
8, 9, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0009.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0010.png', 6.343099583998257
9, 10, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0010.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0011.png', 6.120886253002158
10, 11, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0011.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0012.png', 5.908475173612784
11, 12, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0013.png', 5.742437225512985
12, 13, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0014.png', 5.7088715916218975
13, 14, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0015.png', 5.430680165929858
14, 15, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0016.png', 5.174324061932022
15, 16, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0017.png', 5.396289935660376
16, 17, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0018.png', 5.601942456734741
17, 18, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0019.png', 5.451660001917965
18, 19, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0020.png', 5.303196648345072
19, 20, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0021.png', 5.552133094058659
20, 21, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0022.png', 5.608930031293526
21, 22, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0023.png', 5.522845583517014
22, 23, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0024.png', 5.698866101868888
23, 24, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0025.png', 5.791525389378547
24, 25, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0026.png', 5.813329151370052
25, 26, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0027.png', 5.486851161607093
26, 27, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0028.png', 5.4349480239288015
27, 28, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0029.png', 5.408365073218404
28, 29, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0030.png', 5.2757953274933564
29, 30, './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S1/pour_honey,bread/1/rgb/rgb0031.png', 5.386817533311767
