0, 1, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0002.png', 5.296021216916501
1, 2, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0003.png', 5.597768697056757
2, 3, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0004.png', 5.7520428379408015
3, 4, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0005.png', 5.615252485616532
4, 5, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0006.png', 5.487349008232429
5, 6, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0007.png', 5.363513583065605
6, 7, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0008.png', 5.434876000928182
7, 8, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0009.png', 5.23870238677777
8, 9, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0010.png', 5.464593028428336
9, 10, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0011.png', 5.423404281058687
10, 11, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0012.png', 5.23901571988402
11, 12, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0013.png', 4.880259211364604
12, 13, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0014.png', 4.864748305021541
13, 14, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0015.png', 4.932034317091843
14, 15, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0016.png', 5.145555133365028
15, 16, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0017.png', 4.872798535082604
16, 17, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0018.png', 4.939616557215298
17, 18, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0019.png', 5.178649785548478
18, 19, './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/scoop_peanut,spoon/2/rgb/rgb0020.png', 5.295304386015558
