0, 1, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0002.png', 0.13573369602020943
1, 2, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0002.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0003.png', 0.1051801610044853
2, 3, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0003.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0004.png', 0.09390026052664865
3, 4, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0004.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0005.png', 0.07702448885754595
4, 5, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0005.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0006.png', 0.02813181326968239
5, 6, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0006.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0007.png', 0.05285937732929412
6, 7, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0007.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0008.png', 0.044797463147065036
7, 8, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0008.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0009.png', 0.0245276051713181
8, 9, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0009.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0010.png', 0.03708028207117289
9, 10, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0010.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0011.png', 0.22330440498399906
10, 11, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0011.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0012.png', 0.1575950631330244
11, 12, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0012.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0013.png', 0.12434007590160259
12, 13, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0013.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0014.png', 0.14867760855275244
13, 14, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0014.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0015.png', 0.12604465962055975
14, 15, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0015.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0016.png', 0.04591234649371015
15, 16, './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0016.png', './GTEA61/processed_frames2/S2/scoop_sugar,spoon/1/mmaps/map0017.png', 0.03591094050933792
