0, 1, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0002.png', 5.074137271274351
1, 2, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0002.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0003.png', 4.920378695790774
2, 3, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0003.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0004.png', 4.807831533955678
3, 4, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0004.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0005.png', 4.595151585486946
4, 5, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0005.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0006.png', 4.301418683478909
5, 6, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0006.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0007.png', 4.459280785886654
6, 7, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0007.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0008.png', 4.198187103650856
7, 8, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0008.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0009.png', 4.687915707280638
8, 9, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0009.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0010.png', 4.749369233670791
9, 10, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0010.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0011.png', 4.718397340839413
10, 11, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0011.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0012.png', 4.578520156410334
11, 12, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0012.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0013.png', 4.325081432827376
12, 13, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0013.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0014.png', 4.681916581611707
13, 14, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0014.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0015.png', 4.633989738982411
14, 15, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0015.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0016.png', 4.718921717966312
15, 16, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0017.png', 4.630231469011978
16, 17, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0018.png', 4.816719073000281
17, 18, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0019.png', 4.924565550331385
18, 19, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0020.png', 4.853194299118829
19, 20, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0020.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0021.png', 4.9178609187965145
20, 21, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0021.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0022.png', 4.53352375324467
21, 22, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0022.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0023.png', 4.965962789064356
22, 23, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0023.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0024.png', 5.208478888333589
23, 24, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0024.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0025.png', 4.747539517003552
24, 25, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0025.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0026.png', 4.856561527489312
25, 26, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0026.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0027.png', 4.9106439548437555
26, 27, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0027.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0028.png', 4.806217179617162
27, 28, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0028.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0029.png', 4.626672409651794
28, 29, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0029.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0030.png', 4.133558498061074
29, 30, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0030.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0031.png', 4.652800575570131
30, 31, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0031.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0032.png', 5.153538040011935
31, 32, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0032.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0033.png', 4.79902583193721
32, 33, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0033.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0034.png', 4.620902600342135
33, 34, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0034.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0035.png', 4.771908323313034
34, 35, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0035.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0036.png', 4.619571352879178
35, 36, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0036.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0037.png', 4.5335087929577815
36, 37, './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0037.png', './GTEA61/processed_frames2/S4/stir_spoon,cup/4/rgb/rgb0038.png', 5.055114635812278
