0, 1, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0002.png', 0.2304285238584308
1, 2, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0003.png', 0.09645718549631774
2, 3, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0004.png', 0.10670975652945017
3, 4, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0005.png', 0.09346308700376485
4, 5, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0006.png', 0.05184416703968961
5, 6, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0007.png', 0.0089242343066975
6, 7, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0008.png', 0.01848370764298379
7, 8, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0009.png', 0.011452227032658866
8, 9, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0010.png', 0.00874590784647976
9, 10, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0011.png', 0.25443364540162555
10, 11, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0012.png', 0.20557484194880102
11, 12, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0013.png', 0.08855988969829406
12, 13, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0014.png', 0.08839331468191235
13, 14, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0015.png', 0.06972688608084397
14, 15, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0016.png', 0.06100810391168596
15, 16, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0017.png', 0.0402058216978483
16, 17, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0018.png', 0.023177938696881003
17, 18, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0019.png', 0.026745754416371656
18, 19, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0020.png', 0.01848370764298379
19, 20, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0021.png', 0.018010659495706866
20, 21, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0022.png', 0.021277873413797898
21, 22, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0023.png', 0.027258034651845824
22, 23, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0024.png', 0.012301976141196167
23, 24, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0025.png', 0.004937438773796977
24, 25, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0026.png', 0.007113223678537203
25, 26, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0027.png', 0.0152035832563978
26, 27, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0028.png', 0.04067674541450932
27, 28, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0029.png', 0.01657762044765992
28, 29, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0029.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0030.png', 0.020970934602302482
29, 30, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0030.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0031.png', 0.011963293072621251
30, 31, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0031.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0032.png', 0.017535343773559458
31, 32, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0032.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0033.png', 0.02979160948403639
32, 33, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0033.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0034.png', 0.009367612527378423
33, 34, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0034.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0035.png', -0.0
34, 35, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0035.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0036.png', 0.016095056259505334
35, 36, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0036.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0037.png', 0.016095056259505334
36, 37, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0037.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0038.png', -0.0
37, 38, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0038.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0039.png', -0.0
38, 39, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0039.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0040.png', -0.0
39, 40, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0040.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0041.png', 0.0089242343066975
40, 41, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0041.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0042.png', 0.0089242343066975
41, 42, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0042.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0043.png', 0.0089242343066975
42, 43, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0043.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0044.png', 0.016817961629347632
43, 44, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0044.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0045.png', 0.022269756024955394
44, 45, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0045.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0046.png', 0.01895455514356647
45, 46, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0046.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0047.png', 0.015122090012969778
46, 47, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0047.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0048.png', 0.02173672794550991
47, 48, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0048.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0049.png', 0.014958871933530297
48, 49, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0049.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0050.png', -0.0
49, 50, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0050.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0051.png', 0.0089242343066975
50, 51, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0051.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0052.png', 0.0391926050491545
51, 52, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0052.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0053.png', 0.038649893612915494
52, 53, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0053.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0054.png', 0.027913882994087966
53, 54, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0054.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0055.png', 0.00503463480289496
54, 55, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0055.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0056.png', 0.014713458529157475
55, 56, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0056.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0057.png', 0.023328635668721422
56, 57, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0057.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0058.png', 0.04067674541450932
57, 58, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0058.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0059.png', 0.04947839199723303
58, 59, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0059.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0060.png', 0.03762782727116847
59, 60, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0060.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0061.png', 0.025048571004148066
60, 61, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0061.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0062.png', 0.03618680133999354
61, 62, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0062.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0063.png', 0.022875979046570613
62, 63, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0063.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0064.png', 0.024825560723691884
63, 64, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0064.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0065.png', 0.023328635668721422
64, 65, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0065.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0066.png', 0.02377961204165078
65, 66, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0066.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0067.png', 0.034246156079008314
66, 67, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0067.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0068.png', 0.03171644614290613
67, 68, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0068.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0069.png', 0.035634628594200225
68, 69, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0069.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0070.png', 0.020663150758510024
69, 70, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0070.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0071.png', 0.028204381491556768
70, 71, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0071.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0072.png', 0.02593678453079047
71, 72, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0072.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0073.png', 0.018719402445230373
72, 73, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0073.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0074.png', 0.022497453810019805
73, 74, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0074.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0075.png', 0.017694038600588085
74, 75, './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0075.png', './GTEA61/processed_frames2/S2/pour_honey,bread/1/mmaps/map0076.png', 0.014958871933530297
