0, 1, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00001.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00002.png', 4.201280978072703
1, 2, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00002.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00003.png', 4.289407706516521
2, 3, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00003.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00004.png', 4.638477415567977
3, 4, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00004.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00005.png', 4.561509687024652
4, 5, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00005.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00006.png', 4.289294239600826
5, 6, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00006.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00007.png', 5.168837527792034
6, 7, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00007.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00008.png', 5.204223439155177
7, 8, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00008.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00009.png', 4.093790904702666
8, 9, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00009.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00010.png', 5.113393003000279
9, 10, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00010.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00011.png', 5.2413854621819995
10, 11, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00011.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00012.png', 3.7973659410277714
11, 12, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00012.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00013.png', 3.986739698308908
12, 13, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00013.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00014.png', 3.980557948701903
13, 14, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00014.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00015.png', 3.965756901474491
14, 15, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00015.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00016.png', 3.9519133417842585
15, 16, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00016.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00017.png', 4.319882036883928
16, 17, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00017.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00018.png', 3.350009393011065
17, 18, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00018.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00019.png', 3.765188289588763
18, 19, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00019.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00020.png', 4.78776529285091
19, 20, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00020.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00021.png', 4.094399257318566
20, 21, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00021.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00022.png', 4.345695489810965
21, 22, './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00022.png', './GTEA61/flow_y_processed/S2/scoop_coffee,spoon/4/flow_y_00023.png', 4.1279731642419515
