0, 1, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0002.png', 0.4077989063264193
1, 2, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0002.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0003.png', 0.22036279779932774
2, 3, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0003.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0004.png', 0.2098961021172707
3, 4, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0004.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0005.png', 0.1890073132080771
4, 5, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0005.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0006.png', 0.14720553364521344
5, 6, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0006.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0007.png', 0.12363605941688252
6, 7, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0007.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0008.png', 0.12439031501078202
7, 8, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0008.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0009.png', 0.14539427813830635
8, 9, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0009.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0010.png', 0.1566646660721383
9, 10, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0010.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0011.png', 0.46880506433710256
10, 11, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0011.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0012.png', 0.40677865650076955
11, 12, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0012.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0013.png', 0.2455419783503292
12, 13, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0014.png', 0.2356715942273916
13, 14, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0015.png', 0.22893854849894155
14, 15, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0016.png', 0.23853223292047576
15, 16, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0017.png', 0.18314163935259462
16, 17, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0018.png', 0.22126332661248382
17, 18, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0019.png', 0.2105641831601744
18, 19, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0020.png', 0.24448433083026735
19, 20, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0021.png', 0.2529291565525087
20, 21, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0022.png', 0.26655583784286047
21, 22, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0023.png', 0.2631508353110617
22, 23, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0024.png', 0.2346748511118851
23, 24, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0025.png', 0.2261490406043021
24, 25, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0026.png', 0.24928650141975725
25, 26, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0027.png', 0.2644395257245691
26, 27, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0028.png', 0.302409234315444
27, 28, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0029.png', 0.3247877773989948
28, 29, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0029.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0030.png', 0.2586558422722507
29, 30, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0030.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0031.png', 0.2478852153735805
30, 31, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0031.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0032.png', 0.22011693714443356
31, 32, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0032.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0033.png', 0.27828193742445606
32, 33, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0033.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0034.png', 0.23375625608348682
33, 34, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0034.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/mmaps/map0035.png', 0.2061222170218557
